ID	Hierarchiestufe	FeldName	Reihenfolge	FeldBeschriftung	FeldBeschreibung	Formularelement	InputTyp	FeldNameEvab	FeldNameZdsf	FeldNameCscf	FeldNameNism	FeldNameWslFlechten	FeldNameWslPilze	ArtGruppe	Optionen	Standardwert	SliderMinimum	SliderMaximum
"6d793056afce59fd2ef9fd0b03024083"	"Ort"	""	""	""	""	"textinput"	"datetime"	""	""	""	""	""	""	""	""	""	""	"" 
"6d793056afce59fd2ef9fd0b03024593"	"Raum"	""	""	""	""	"textinput"	"time"	""	""	""	""	""	""	""	""	""	""	"" 
"6d793056afce59fd2ef9fd0b03024984"	"Ort"	""	""	""	""	"textinput"	"text"	""	""	""	""	""	""	""	""	""	""	"" 
"6d793056afce59fd2ef9fd0b03023518"	"Zeit"	"orttest"	"1"	"orttest"	""	"textinput"	"datetime"	""	""	""	""	""	""	"Amphibien"	""	""	""	"" 
"f19cd49bd7b7a150c895041a5d000acc"	"Projekt"	"pName"	"1"	"Name"	"FNS: Projektname"	"textinput"	"text"	"Name"	""	""	""	""	"Erhebungen (aber auch aMeldungTyp)"	"alle"	""	"[object Object]"	""	"" 
"f86ac048666be7df4ae1c875d7029344"	"Raum"	"mein raum"	"1"	"mein raum"	""	"textinput"	"text"	""	""	""	""	""	""	""	"a,b,c,d"	"[object Object]"	""	"" 
"f19cd49bd7b7a150c895041a5d000cd8"	"Projekt"	"pBemerkungen"	"2"	"Bemerkungen"	"FNS: Bemerkungen zum Projekt"	"textarea"	""	"Bemerkungen"	""	""	""	""	""	"alle"	""	"[object Object]"	""	"" 
"f19cd49bd7b7a150c895041a5d000dec"	"Raum"	"rName"	"3"	"Name"	"FNS: Name des Raums. Z.B. geographischer Name, Objektnummer..."	"textinput"	"text"	"Name"	""	""	""	""	""	"alle"	""	"[object Object]"	""	"" 
"f19cd49bd7b7a150c895041a5d000e6a"	"Raum"	"rBemerkungen"	"4"	"Bemerkungen"	"FNS: Bemerkungen zum Raum"	"textarea"	""	"Bemerkungen"	""	""	""	""	""	"alle"	""	"[object Object]"	""	"" 
"30034b35a264d2adb24a8f3f0b07cd65"	"Ort"	"rTest"	"5"	"Test"	""	"slider"	"text"	""	""	""	""	""	""	""	""	""	""	"100" 
"f19cd49bd7b7a150c895041a5d00130b"	"Ort"	"oName"	"5"	"Name"	"FNS: Name des Orts. Z.B. Lokalname, Teilobjektnummer..."	"textinput"	"text"	"Name"	""	""	"ort"	""	"Flurname"	"alle"	""	"[object Object]"	""	"" 
"f19cd49bd7b7a150c895041a5d002e72"	"Ort"	"oXKoord"	"6"	"X-Koordinate"	"X-Koordinate, Schweizer Bezugssystem  (X/Y oder Lat/Long müssen erfasst werden)"	"textinput"	"text"	"X"	"?"	"?"	"koordinate_x"	""	"Xkoord"	"alle"	""	"[object Object]"	""	"" 
"f19cd49bd7b7a150c895041a5d0034b2"	"Ort"	"oYKoord"	"7"	"Y-Koordinate"	"Y-Koordinate, Schweizer Bezugssystem  (X/Y oder Lat/Long müssen erfasst werden)"	"textinput"	"text"	"Y"	"?"	"?"	"koordinate_y"	""	"Ykoord"	"alle"	""	"[object Object]"	""	"" 
"f19cd49bd7b7a150c895041a5d00557e"	"Ort"	"oLagegenauigkeit"	"8"	"Lage Genauigkeit"	""	"textinput"	"text"	""	"?"	"?"	""	""	"Präzision"	"alle"	""	"[object Object]"	""	"" 
